B	cDC1	cDC2	eos	mon	neu	pDC	mye	mouse	treatment	exp
0	9.594546085	8.710225356	0	4.480655361	0	7.681905136	3.228591113	93	FL	DL72
0	11.1030096	9.70610875	0	5.143855341	0	8.395199855	3.890732374	93	FL	DL72
0	11.12442555	11.97083692	13.85352573	13.34663577	12.51756841	13.3532983	13.47661249	93	FL	DL72
0	5.968765116	6.256689052	0	0	0	0	0	93	FL	DL72
9.039934533	11.90617416	13.04940005	11.9077833	11.80424123	13.48332577	8.495642629	12.60822505	93	FL	DL72
0	0	0	0	3.844995794	0	0	2.596601572	93	FL	DL72
0	0	0	6.681428461	0	0	0	5.86608603	93	FL	DL72
0	8.346186121	7.977455901	0	7.440327683	6.359154378	7.636903187	6.466854274	93	FL	DL72
11.9079737	6.427992718	6.657063065	0	4.866248881	3.306493917	0	3.7955098	93	FL	DL72
10.65249512	4.023168751	7.184082299	0	0	0	0	0	93	FL	DL72
3.729770719	0	0	0	0	0	0	0	93	FL	DL72
0	5.094469627	0	0	0	0	0	0	93	FL	DL72
0	6.102294976	5.439408618	0	0	0	0	0	93	FL	DL72
0	0	0	0	0	4.586187921	0	3.285580236	93	FL	DL72
0	8.872688814	7.274267921	0	0	0	0	0	93	FL	DL72
0	10.82883673	11.25355461	6.726610548	10.46134693	10.31347454	9.894293256	9.827771136	93	FL	DL72
0	12.42243757	12.34900538	9.493155525	9.182610443	10.90364978	8.99932429	10.062142	93	FL	DL72
0	8.135687657	0	0	0	0	0	0	93	FL	DL72
0	0	0	7.457199423	0	5.192250758	0	6.703727107	93	FL	DL72
0	0	5.673973806	0	0	0	0	0	93	FL	DL72
8.677954552	6.473855906	9.053719076	12.42478016	12.89038394	9.914229868	12.97971611	12.34072056	93	FL	DL72
0	0	0	5.286719246	0	0	0	4.471475432	93	FL	DL72
0	0	6.494944847	0	0	0	0	0	93	FL	DL72
0	0	1.700534786	0	0	0	0	0	93	FL	DL72
0	0	0	8.75083934	4.691920243	0	0	7.946569534	93	FL	DL72
0	7.024563563	8.105979289	0	0	0	7.936879806	0	93	FL	DL72
0	0	0	6.517426095	0	0	0	5.702086171	93	FL	DL72
7.882855914	5.147811805	0	0	0	0	0	0	93	FL	DL72
0	4.467665911	0	0	0	0	0	0	93	FL	DL72
0	13.66821789	12.55960181	0	8.186899763	9.970833921	8.538588156	8.831307769	93	FL	DL72
0	6.255014745	0	0	0	0	0	0	93	FL	DL72
